#,33,32,30,28,26,24,22,20,18,16,14,12,10,8,6,4,2,0
Sheer,,1-10-2,1-8-6,1-7-7,1-7-2,1-7-0,1-6-7,1-7-1,1-7-6,1-8-5,1-9-5,1-11-0,2-0-6,2-2-5,2-4-7,2-7-2,2-10-0,3-0-7
B 3',,,1-8-6,0-9-6,0-3-4-,0-0-7,0-4-4,0-7-0,0-8-4,0-8-3,0-6-6,0-3-0,0-2-5,1-2-6,2-6-5,,,
B 2',1-3-6,1-1-4,0-7-7,0-2-5,0-2-3,0-7-1,0-11-0,1-1-7,1-3-5,1-4-3,1-3-1,1-0-4,0-8-4,0-1-5,0-8-6+,2-0-6,,
B 1',1-0-3,0-9-6,0-3-4,0-2-0,0-7-6,1-1-4,1-6-4,1-10-6,2-1-7,2-3-2,2-2-2,1-10-7,1-6-5,1-0-6,0-5-3+,0-6-0,2-1-0,
Rabbet,0-9-6,0-6-4-,0-0-2,0-6-5,1-4-0,2-9-2,4-2-4,4-0-0,3-9-0,3-6-4,3-5-1,3-2-4,2-7-2,2-0-7,1-5-6,0-10-2,0-4-0,2-11-3
Profile,0-9-2,0-6-0-,0-0-6,0-7-2,3-9-7,4-10-3,4-11-7,4-11-2,4-10-4,4-9-6,4-3-0 and 4-8-4,3-6-7,2-8-6,2-2-1,1-7-3,1-0-4,0-0-0,2-0-0
1/2w Deck,2-4-4,2-7-1,3-0-0,3-4-2,3-8-1,3-10-7,4-0-7,4-2-3,4-3-0,4-2-7,4-2-1,4-0-1,3-9-0,3-4-7,2-11-3,2-3-5,1-5-1,0-2-7
WL + 2',,,,,,,,,,,,,3-8-7,3-4-6,2-9-3,1-11-9,0-11-3,
WL + 1',,,2-7-3,3-1-4,3-6-5,3-10-1,4-0-6,4-2-3,4-2-5,4-2-2,4-0-6,3-10-1,3-5-4,2-10-6,2-2-2,1-3-6,0-4-6,
"WL + 6""",,,1-7-0,2-7-2,3-2-7,3-7-4,3-10-6,4-0-5,4-1-1,4-0-5,3-11-1,3-7-6,3-2-4,2-6-6,1-9-6,0-11-6,0-2-1,
LWL,,,0-2-4,1-5-2,2-5-6,3-1-4,3-6-3,3-8-6,3-9-6,3-9-4,3-7-3,3-3-1,2-9-4,2-1-6,1-4-6,0-7-7,0-0-6,
"WL - 6""",,,,0-3-0,1-3-5,2-2-0,2-9-1,3-1-2,3-3-1,3-3-2,3-0-7,2-8-1,2-2-6,1-7-2,0-11-2,0-4-0,,
WL - 1',,,,,0-5-0,1-2-0,1-10-0,2-3-4,2-6-0,2-6-4,2-4-6,2-0-6,1-7-3,1-0-5,0-6-2,0-0-7,,
WL - 2',,,,,0-1-0,0-3-7,0-7-4,0-10-6,1-1-3,1-2-4,1-1-6,0-11-0,0-7-3,0-2-2,,,,
WL - 3',,,,,,0-1-2,0-3-2,0-5-4,0-7-0,0-7-6,0-0-7,0-4-1,,,,,,
WL - 4',,,,,,,0-2-0,0-4-0,0-5-5,0-6-0,0-4-0,,,,,,,
Rabbet Plan,,,,,0-2-2,0-2-1,0-2-0,0-3-2,0-5-6,0-6-2,0-3-2,0-3-0,0-1-6,0-1-6,0-1-6,0-1-6,0-1-6,0-1-6
Profile Plan,,,,,0-0-3,0-0-6,0-1-0,0-2-0 and 0-3-0,0-3-0 and 0-4-6,0-3-2 and 0-5-0,0-0-0,0-0-0,0-0-4,0-0-4,0-0-4,0-0-4,0-0-4,0-1-2
Diagonal 1,,,,,0-3-4,0-9-0,1-1-0,1-4-2,1-6-2,1-7-0,1-6-3,1-4-2,1-1-2,0-9-2,0-4-6,0-0-6,,
D 2,,,0-1-2,0-7-2,1-1-2,1-6-0,1-10-2,2-1-1,2-2-6,2-3-6,2-2-7,2-0-6,1-10-0,1-5-5,1-0-4,0-6-7,0-0-0,
D 3,,2-1-0,2-7-4,3-1-0,3-6-1,3-10-0,4-1-0,4-3-0,4-3-4,4-3-4,4-2-0,3-11-0,3-6-4,3-0-2,2-4-7,1-8-0,0-10-1,
